Rules,Campaign Type,ID #,Filter:,Parent Task:,Child Tasks,TAG TASKS,Schedule:,Notes:
Auto,Reg,,Pro PPC Auto Negating Search Terms,Pro PPC Auto Negating Search Terms,,Tag Negated, Weekly at 09:00 AM,
Auto,Reg,,Pro PPC Auto Cleaning,Pro PPC Auto Cleaning,,, Weekly at 09:00 AM,
Auto,New ,,Pro PPC Auto Cleaning,Pro PPC Auto Cleaning - New,,,"09:00 PM, every 2 days, and on Monday, Wednesday, and Friday",
Auto,Reg,,Pro PPC Auto Boosting,Pro PPC Auto Boosting,,, Weekly at 09:00 AM,
Auto,New ,,Pro PPC Auto Boosting,Pro PPC Auto Boosting - New,,," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday,",
Auto,Reg,,Pro PPC Notify Auto Targets 50 clicks and no sales,Pro PPC Notify Auto Targets 50 clicks and no sales,,, Weekly at 09:00 AM,
,,,,,,,,
PL,Reg,,Pro PPC Raise PP Placements Low Acos (2),Pro PPC Raise PP Placements Low Acos,,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Raise TOS Placements Low Acos (2),Pro PPC Raise TOS Placements Low Acos,,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Raise PP Placements Good Acos (2),Pro PPC Raise PP Placements Good Acos,,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Raise TOS Placements Good Acos (2),Pro PPC Raise TOS Placements Good Acos,,, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Raise ROS Placements Good Acos (2)
>Pro PPC Raise ROS Placements Good Acos",Pro PPC Raise ROS Placements Good Acos,,Raised ROS PlacementLowered ROS Placement Copy of Add tag raisedCopy of Remove lowered tag, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Raise TOS Placements Low Acos,,,,,
PL,Reg,,Pro PPC Raise PP Placements Low Acos,,,,,
PL,Reg,,"Pro PPC Lower TOS Placements high acos
> 	Pro PPC Lower TOS Placements high acos (2)",Pro PPC Lower TOS Placements High Acos,,Remove Raised TagAdd tag lowered placement, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Lower PP Placements high acos
> Pro PPC Lower PP Placements high acos (2)",Pro PPC Lower PP Placements High Acos,,Remove Raised PP TagAdd Tag Lowered PP Placement (2), Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Remove TOS Placements
> Pro PPC Remove TOS Placements (2)",Pro PPC Remove TOS Placements,,Remove Raised And Lowered TagsAdd tag removed tos placement, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Remove PL from Campaign Name,,,,,
PL,Reg,,Pro PPC Remove PP Placements,Pro PPC Remove PP Placements,,Remove Lowered and Raised PP TagAdd Tag Removed PP Placement, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Lower TOS Placements very high acos,Pro PPC Lower TOS Placements Very High Acos,,Remove Raised Tag (2)Add tag lowered placement (2), Weekly at 09:00 AM,
PL,Reg,,Pro PPC Lower PP Placements very high acos,Pro PPC Lower PP Placements Very High Acos,,Remove Raised PP Tag (2)Add Tag Lowered PP Placement, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Raise TOS Placements Good Acos
> Pro PPC Raise TOS Placements Good Acos (2)",Pro PPC Raise TOS Placements Good Acos,,Lowered TOS PlacementRaised TOS Placement Add tag raisedRemove lowered tag, Weekly at 09:00 AM,
PL,Reg,,"	Pro PPC Raise PP Placements Good Acos
> Pro PPC Raise PP Placements Good Acos (2)",Pro PPC Raise PP Placements Good Acos,,"Lowered PP PlacementRaised PP Placement,Raised PP Placement Remove Lowered PP TagAdd Tag Raised PP Placement", Weekly at 09:00 AM,
PL,Reg,,Pro PPC Campaign With PL,,,,,
PL,Reg,,Pro PPC Add Placements TOS,Pro PPC Add Placements TOS,,Pro PPC Add Tag Placements (2), Weekly at 09:00 AM,
PL,Reg,,Pro PPC Add Placements PP,Pro PPC Add Placements PP,,Pro PPC Add Tag Placements (2), Weekly at 09:00 AM,
PL,Reg,,Pro PPC Add Placements ROS,,,,,
PL,Reg,,Pro PPC Add Placements PP (2),Pro PPC Add Placements PP (2),,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Add Placements TOS (2),,,,,
PL,Reg,,Pro PPC Removed Placements,,,,,
PL,Reg,,Pro PPC Removed Placements - Keywords,,,,,
PL,Reg,,Pro PPC Removed Placements - Targets,,,,,
PL,Reg,,Pro PPC Lower TOS Placements high acos (2),Pro PPC Lower TOS Placements high acos (2),,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Lower PP Placements high acos (2),Pro PPC Lower PP Placements high acos (2),,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Lower PP Placements very high acos (2),Pro PPC Lower PP Placements Very High Acos,,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Lower TOS Placements very high acos (2),Pro PPC Lower TOS Placements Very High Acos,,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Remove PP Placements (2),Pro PPC Remove PP Placements (2),,, Weekly at 09:00 AM,
PL,Reg,,Pro PPC Remove TOS Placements (2),Pro PPC Remove TOS Placements,,, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Add Placements ROS (2)
>Pro PPC Add Placements ROS",Pro PPC Add Placements ROS,,, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Lower ROS Placements high acos (2)
> Pro PPC Lower ROS Placements high acos",Pro PPC Lower ROS Placements high acos,,Lowered ROS PlacementRaised ROS Placement Copy of Add tag lowered placementCopy of Remove Raised Tag, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Lower ROS Placements very high acos (2)
> Pro PPC Lower ROS Placements very high acos",Pro PPC Lower ROS Placements very high acos,,, Weekly at 09:00 AM,
PL,Reg,,"Pro PPC Remove ROS Placements (2) 
> Pro PPC Remove ROS Placements",Pro PPC Remove ROS Placements ,,"Removed ROS PlacementsLowered ROS Placement,Lowered ROS Placement,Raised ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Raised ROS Placement Add tag removed Ros placementCopy of Remove Raised And Lowered Tags", Weekly at 09:00 AM,
,,,,,,,,
Budget,Reg,,Pro PPC Raise Campaign Budgets - Notify,,,,,
Budget,Reg,,Pro PPC Campaign Budgets more than $1000,,,,,
Budget,Reg,,Pro PPC Raise Campaign Budgets $100-$500,Pro PPC Raise Campaign Budgets $100-$500,,,Weekly at 09:00 AM,
Budget,New ,,Pro PPC Raise Campaign Budgets $100-$500,Pro PPC Raise Campaign Budgets $100-$500 - New,,,"  09:00 AM, only on Monday and Thursday",
Budget,Reg,,Pro PPC Raise Campaign Budgets more than $500,Pro PPC Raise Campaign Budgets more than $500,Copy of Pro PPC Campaign Budgets more than $1000,, Weekly at 09:00 AM,
Budget,New ,,Pro PPC Raise Campaign Budgets more than $500,Pro PPC Raise Campaign Budgets more than $500 - New,Copy of Pro PPC Campaign Budgets more than $1000,,"  09:00 AM, only on Monday and Thursday",
Budget,Reg,,Pro PPC Raise Campaign Budgets up to $100,Pro PPC Raise Campaign Budgets up to $100,,, Weekly at 09:00 AM,
Budget,New ,,Pro PPC Raise Campaign Budgets up to $100,Pro PPC Raise Campaign Budgets up to $100 - New,,," 09:00 AM, only on Monday and Thursday",
,,,,,,,,
Pausing,Reg,,Pro PPC OOS Products,,,,,
Pausing,Reg,,Pro PPC OOS Products (2),,,,,
Pausing,Reg,,Pro PPC Pause Kws Old Campaigns 7 day DR,Pro PPC Pause Kws Old Campaigns 7 day DR,,, Weekly at 09:00 AM,
Pausing,Reg,,Pro PPC Pause Kws Old Campaigns 65 day DR,,,,,
Pausing,Reg,,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales ,"Pause (Kws with more than 30 clicks and no sales)
 Archive (Kws with more than 30 clicks and no sales)",Add Tag Paused 0.02,Weekly at 09:00 AM,
Pausing,New ,,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales - New,"Pause (Kws with more than 30 clicks and no sales)
Archive (Kws with more than 30 clicks and no sales)",Add Tag Paused 0.02,"09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
Pausing,Reg,,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales,Copy of Pause (Targets with more than 30 clicks and no sales)Copy of Archive (Targets with more than 30 clicks and no sales)Copy of Add Tag Paused 0.02 (2),," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
Pausing,New ,,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales - New,Copy of Pause (Targets with more than 30 clicks and no sales)Copy of Archive (Targets with more than 30 clicks and no sales)Copy of Add Tag Paused 0.02 (2),," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
Pausing,Reg,,Pro PPC Pause High Organic Position,Pro PPC Pause High Organic Position,,," Every hour, only on Sunday, Monday, Tuesday, Wednesday, Thursday, and Friday",
Pausing,Reg,,Pro PPC Pause Old Campaign Names,,,,,
Pausing,Reg,,Pro PPC Pause High Organic Position 1,,,,,
,,,,,,,,
Resuming,Reg,,Pro PPC Resume Dropped Organic Position,Pro PPC Resume Dropped Organic Position,Pro PPC Resume Dropped Organic Position 1 This did not work,," Every hour, only on Sunday, Tuesday, Monday, Wednesday, Thursday, and Frida",This needs the crawlers to work
Resuming,Reg,,Pro PPC Resume Dropped Organic Position 1	,,,,,
,,,,,,,,
TAG,Reg,,Pro PPC Tag Kws Low or Good Acos,Pro PPC Tag Kws Low or Good Acos,,,,
TAG,Reg,,Pro PPC Keywords Tagged Lowered,,"Copy of Lower Again Keywords With Tag ""Lowered""",,,
TAG,Reg,,Pro PPC Tag Targets Low or Good Acos,Pro PPC Tag Targets Low or Good Acos,,, Weekly at 09:00 AM,
TAG,Reg,,Pro PPC Targets Tagged Lowered,,,,,
TAG,Reg,,Pro PPC Add Product PA Tag,,,,,
TAG,Reg,,Pro PPC Targets Tagged Lowered (2),,,,,
TAG,Reg,,Pro PPC Keywords Tagged Lowered (2),,,,,
TAG,Reg,,Pro PPC New Campaign Tag - Keywords,,,,,
TAG,Reg,,Pro PPC Not in New Campaign Tag List - Keywords,,,,,
TAG,Reg,,Pro PPC New Campaign Tag - Targets,,,,,
TAG,Reg,,Pro PPC Not in New Campaign Tag List - Targets,,,,,
TAG,Reg,,Pro PPC Not in New Campaign Tag List - Campaigns,,,,,
TAG,Reg,,Pro PPC New Campaign Tag - Search Terms,,,,,
TAG,Reg,,Pro PPC Not in New Campaign Tag List - Search Terms,,,,,
TAG,Reg,,Pro PPC Bid ending 1 & 6,Add Tag Raised to Bid Ending 6/1,,,run immediately ,Onboarding Task
TAG,Reg,,Pro PPC Bid ending  4 & 9,Add Tag Lowered to Bid Ending 4/9,,,run immediately ,Onboarding Task
TAG,Reg,,Pro PPC Bid ending  0 & 5,Add Tag New to Bid Ending 0/5,,,run immediately ,Onboarding Task
,,,,,,,,
Notify,Reg,,Pro PPC Notify for Add PL when Tag Removed,Pro PPC Notify for Add PL when Tag Removed,,, Weekly at 09:00 AM,
Notify,Reg,,Pro PPC Notify High Acos OOB Campaigns Child Task,Pro PPC Notify High Acos OOB Campaigns Child Task,,,Run Inmediatly,
Notify,Reg,,Pro PPC Notify High Acos OOB Campaigns Parent task,Pro PPC Notify High Acos OOB Campaigns,,, Daily at 09:00 AM,
Notify,Reg,,Pro PPC Notify Campaigns in Advertiser Pro Portfolio,Pro PPC Notify Campaigns in Advertiser Pro Portfolio,,, Daily at 09:00 AM,
Notify,Reg,,Pro PPC Notify High Acos Campaign,,,," 09:00 AM, only on Monday, Tuesday, Wednesday, Thursday, and Friday",
,,,,,,,,
Refresh,Reg,,Pro PPC Refresh Product Ads,,,,,
Refresh,Reg,,Pro PPC Refresh Product Ads (2),Pro PPC Refresh Product Ads,,,Daily at 09:00 AM,
