Rules,Campaign Type,Disable/ Enable Task,Filter ID,Filter:,Parent Task:,Task ID,Child Tasks,TAG TASKS,Schedule:,Notes:
New Campaigns,New ,Disable,,Can create filter with asins to open campaigns or just enter it in the task,Pro PPC Create Auto Campaigns Sample,547,,Add Tag New Campaign,,Reusable Task
New Campaigns,New ,Disable,458,Pro PPC Old Campaign Search Term Report,Pro PPC Create Manual Campaigns Sample,548,,Add Tag New Campaign,,Reusable Task
New Campaigns,New ,Disable,589,Pro PPC Old Campaign Asin Search Term Report ,Pro PPC Create Manual Campaigns Sample - Targets,558,,,,Reusable Task
New Campaigns,New ,Disable,,Enter Brand Name by Kw and enter the asins u want a campaign for,Pro PPC Create Brand Name Defense Campaigns Sample,634,"Negate Brand in Auto
Negate Brand in Manual",Tag New Campaign,,Reusable Task
New Campaigns,New ,Disable,,Enter Asins u wanna target and enter the asins u want a campaign for,Pro PPC Create PT Defense Campaigns Sample,637,"Negate Defense Targets in Auto
Negate Defense Targets in Manual
(Waiting for ad group option)",Add Tag New Campaign,,Reusable Task
,,,,,,,,,,
ST Report,Big DR,Enable,458,Pro PPC Old Campaign Search Term Report,Pro PPC Old Campaign Search Term Report,459,Negating in Broad and Phrase,Add New Keyword Tag," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
ST Report,Big DR,Enable,589,Pro PPC Old Campaign Asin Search Term Report ,Pro PPC Old Campaign Asin Search Term Report ,460,,Add New Target Tag," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
ST Report,Reg,Enable,479,Pro PPC Search Term Report,Pro PPC Search Term Report,102,Copy 1 of Pro PPC Negating in Broad and Phrase,Copy 1 of Add new tag,Weekly at 09:00 AM,
ST Report,New ,Enable,479,Pro PPC Search Term Report,Pro PPC Search Term Report - New,3,Pro PPC Negating in Broad and Phrase,"
Add new tag"," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
ST Report,Reg,Enable,480,Pro PPC Asin Search Term Report,Pro PPC Search Term Asin Report,103,,Copy of Add new target tag,Weekly at 09:00 AM,
ST Report,New ,Enable,480,Pro PPC Asin Search Term Report,Pro PPC Search Term Asin Report - New,4,,Add new target tag," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
,,,,,,,,,,
Boosting,Reg,Enable,"417
570","Pro PPC Boosting Kws without clicks
Pro PPC Boosting Kws without Clicks with or without Impressions",Pro PPC Boosting Kws without clicks,87,,,Monday at 09:00 AM,
Boosting,New ,Enable,"417
570","Pro PPC Boosting Kws without clicks
Pro PPC Boosting Kws without Clicks with or without Impressions",Pro PPC Boosting Kws without clicks - New,33,,,"09:00 AM Monday, Wednesday, and Friday",
Boosting,Reg,Enable,424,Pro PPC Boosting Kws Low Acos not OOB,Pro PPC Boosting Kws Low Acos not OOB,59,,Tag Raised,Monday at 09:00 AM,
Boosting,New ,Enable,424,Pro PPC Boosting Kws Low Acos not OOB,Pro PPC Boosting Kws Low Acos not OOB - New,5,,Tag Raised,"09:00 AM, only on Monday and Thursday",
Boosting,Big DR,Enable,493,Pro PPC Boosting Kws Low Acos not OOB - Lowered Keywords,Pro PPC Boosting Kws Low Acos not OOB - Lowered Keywords,53,,"Copy of Tag Raised
Copy of Remove New Keyword And Lowered Tags",Monday at 09:00 AM,
Boosting,Reg,Enable,"461
577
578","Pro PPC Boosting Targets without clicks
        Pro PPC Targets with Impressions
        Pro PPC Boosting Targets without Clicks with or without Impressions",Pro PPC Boosting Targets without clicks,88,,,Monday at 09:00 AM,
Boosting,New ,Enable,"461
577
578","Pro PPC Boosting Targets without clicks
	Pro PPC Targets with Impressions
	Pro PPC Boosting Targets without Clicks with or without Impressions",Pro PPC Boosting Targets without clicks - New,48,,,"09:00 AM Monday, Wednesday, and Friday",
Boosting,Reg,Enable,424,Pro PPC Boosting Targets Low Acos not OOB,Pro PPC Boosting Targets Low Acos not OOB,26,,Remove New Target And Lowered TagTag Raised - Targets,Monday at 09:00 AM,
Boosting,New ,Enable,424,Pro PPC Boosting Targets Low Acos not OOB,Pro PPC Boosting Targets Low Acos not OOB - New,283,,"Copy of Remove New Target And Lowered Tags
Copy 2 of Tag Raised","09:00 AM, only on Monday and Thursday",
Boosting,Big DR,Enable,559,Pro PPC Boosting Targets Low Acos not OOB - Lowered Keywords,Pro PPC Boosting Targets Low Acos not OOB - Lowered Keywords,286,,"Copy of Copy of Remove New Target And Lowered Tags
Copy of Copy of Tag Raised",Monday at 09:00 AM,
Boosting,New ,Disable,594,Pro PPC New Campaigns Low Spent Boost Kws No Clicks Stronger,Pro PPC New Campaigns Low Spent Boost Kws No Clicks Stronger,484,,,"One Time Task- Enable it manually when needed, adjust how much to boost and Pro PPC Campaign Low Spent - how much you consider low",Reusable Task
Boosting,New ,Disable,596,Pro PPC New Campaigns Low Spent Boost Targets No Clicks Stronger,Pro PPC New Campaigns Low Spent Boost Targets No Clicks Stronger,485,,,"One Time Task- Enable it manually when needed, adjust how much to boost and Pro PPC Campaign Low Spent - how much you consider low",Reusable Task
Boosting,New ,Disable,620,Pro PPC New Campaigns Low Spent Boost Auto No Clicks Stronger,Pro PPC New Campaigns Low Spent Boost Auto No Clicks Stronger,564,,,"One Time Task- Enable it manually when needed, adjust how much to boost and Pro PPC Campaign Low Spent - how much you consider low",Reusable Task
Boosting,Big DR,Disable,639,Pro PPC Boost Kws Low Acos Big DR,,,,,,Reusable Task
Boosting,Big DR,Disable,641,Pro PPC Boost Targets Low Acos Big DR,,,,,,Reusable Task
,,,,,,,,,,
Cleaning,Reg,Enable,421,Pro PPC Kws with high clicks and no sales with PL,Pro PPC Kws with high clicks and no sales with PL,95,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)",Monday at 09:00 AM,
Cleaning,New ,Enable,421,Pro PPC Kws with high clicks and no sales with PL,Pro PPC Kws with high clicks and no sales with PL - New,2,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)",Monday at 09:00 AM,
Cleaning,Reg,Enable,420,Pro PPC Kws with high clicks and no sales without PL,Pro PPC Kws with high clicks and no sales without PL,97,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)",Monday at 09:00 AM,
Cleaning,New ,Enable,420,Pro PPC Kws with high clicks and no sales without PL,Pro PPC Kws with high clicks and no sales without PL - New,1,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)",Monday at 09:00 AM,
Cleaning,Reg,Enable,534,Pro PPC Cleaning High Acos without PL - Keywords,Pro PPC Cleaning High Acos without PL - Keywords,78,,Remove Lowered - Temp Tag Remove Raised Tag (4)Add Tag Lowered (4),Monday at 09:00 AM,
Cleaning,New ,Enable,534,Pro PPC Cleaning High Acos without PL - Keywords,Pro PPC Cleaning High Acos without PL - Keywords - New,8,,Remove Lowered - Temp Tag Remove Raised Tag (4)Add Tag Lowered (4),Monday at 09:00 AM,
Cleaning,Reg,Enable,534,Pro PPC Cleaning High Acos with PL - Keywords,Pro PPC Cleaning High Acos with PL - Keywords,80,,"Remove Lowered - Temp Tag (5)Remove Raised Tag (6)Lower Again Keywords With Tag ""Lowered"" (4)",Monday at 09:00 AM,
Cleaning,New ,Enable,534,Pro PPC Cleaning High Acos with PL - Keywords,Pro PPC Cleaning High Acos with PL - Keywords - New,9,,"Remove Lowered - Temp Tag (5)Remove Raised Tag (6)Lower Again Keywords With Tag ""Lowered"" (4)",Monday at 09:00 AM,
Cleaning,Reg,Enable,435,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,82,,"Copy  of Remove Raised Tag (3)Copy  of Add Tag LoweredCopy  of Lower Again Keywords With Tag ""Lowered""",Monday at 09:00 AM,
Cleaning,New ,Enable,435,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords - New,10,,"Copy  of Remove Raised Tag (3)Copy  of Add Tag LoweredCopy  of Lower Again Keywords With Tag ""Lowered""",Monday at 09:00 AM,
Cleaning,Reg,Enable,435,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,81,,"Copy of Remove Raised Tag (5)Copy of Add Tag Lowered (2)Copy of Lower Again Keywords With Tag ""Lowered"" (3)",Monday at 09:00 AM,
Cleaning,New ,Enable,435,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords - New,11,,"Copy of Remove Raised Tag (5)Copy of Add Tag Lowered (2)Copy of Lower Again Keywords With Tag ""Lowered"" (3)",Monday at 09:00 AM,
Cleaning,Reg,Enable,466,Pro PPC Targets with high clicks and no sales with PL,Pro PPC Targets with high clicks and no sales with PL,91,,Copy of Remove Raised And New Target Tags (4)Copy of Tag lowered (4),Monday at 09:00 AM,
Cleaning,New ,Enable,466,Pro PPC Targets with high clicks and no sales with PL,Pro PPC Targets with high clicks and no sales with PL - New,73,,Copy of Remove Raised And New Target Tags (4)Copy of Tag lowered (4),Monday at 09:00 AM,
Cleaning,Reg,Enable,466,Pro PPC Targets with high clicks and no sales without PL,Pro PPC Targets with high clicks and no sales without PL,92,,Copy of Remove Raised And New Target Tags (2)Copy of Tag lowered (2),Monday at 09:00 AM,
Cleaning,New ,Enable,466,Pro PPC Targets with high clicks and no sales without PL,Pro PPC Targets with high clicks and no sales without PL - New,27,,Copy of Remove Raised And New Target Tags (2)Copy of Tag lowered (2),Monday at 09:00 AM,
Cleaning,Reg,Enable,467,Pro PPC Cleaning High Acos with PL - Targets,Pro PPC Cleaning High Acos with PL - Targets,84,,"Copy of Remove Raised And New Target Tags (3)Copy of Add Tag Lowered (6)Copy of Lower Again Targets With Tag ""Lowered""",Monday at 09:00 AM,
Cleaning,New ,Enable,467,Pro PPC Cleaning High Acos with PL - Targets,Pro PPC Cleaning High Acos with PL - Targets - New,30,,"Copy of Remove Raised And New Target Tags (3)Copy of Add Tag Lowered (6)Copy of Lower Again Targets With Tag ""Lowered""",Monday at 09:00 AM,
Cleaning,Reg,Enable,467,Pro PPC Cleaning High Acos without PL - Targets,Pro PPC Cleaning High Acos without PL - Targets,83,,"Lower Again Targets With Tag ""Lowered"" (1)Add Tag Lowered (5)Remove Raised Tag (7)",Monday at 09:00 AM,
Cleaning,New ,Enable,467,Pro PPC Cleaning High Acos without PL - Targets,Pro PPC Cleaning High Acos without PL - Targets - New,29,,"Lower Again Targets With Tag ""Lowered"" (1)Add Tag Lowered (5)Remove Raised Tag (7)",Monday at 09:00 AM,
Cleaning,Reg,Enable,469,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,86,,"Lower Again Targets With Tag ""Lowered"" (2)Add Tag Lowered (8)Remove Raised And New Target Tag (1)",Monday at 09:00 AM,
Cleaning,New ,Enable,469,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,Pro PPC Cleaning High Acos without PL Good Conversion - Targets - New,32,,"Lower Again Targets With Tag ""Lowered"" (2)Add Tag Lowered (8)Remove Raised And New Target Tag (1)
Remove Lowered - Temp Tag",Monday at 09:00 AM,
Cleaning,Reg,Enable,469,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,85,,"Lower Again Targets With Tag ""Lowered"" (3)Add Tag Lowered (7)Remove Raised And New Target Tag",Monday at 09:00 AM,
Cleaning,New ,Enable,469,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,Pro PPC Cleaning High Acos with PL Good Conversion - Targets - New,31,,"Lower Again Targets With Tag ""Lowered"" (3)Add Tag Lowered (7)Remove Raised And New Target Tag",Monday at 09:00 AM,
Cleaning,Reg,Enable,469,Pro PPC Cleaning High Acos without PL - Targets,Pro PPC Cleaning High Acos without PL - Targets,83,,"Copy of Remove Raised Tag (7)
Copy of Add Tag Lowered (5)
Copy of Lower Again Targets With Tag ""Lowered"" (1)",Monday at 09:00 AM,
Cleaning,Big DR,Enable,593,Pro PPC Kws with high clicks and no sales - Big DR,Pro PPC Kws with high clicks and no sales - Big DR,479,65 Day DR Check for High Clicks,"Copy of Copy of Remove Raised And New Keyword Tags (2)
Copy of Copy of Tag lowered",Monday at 09:00 AM,
Cleaning,Big DR,Enable,613,Pro PPC Targets with high clicks and no sales - Big DR,Pro PPC Targets with high clicks and no sales - Big DR,520,Copy of 65 Day DR Check for High Clicks,"Copy of Copy of Copy of Remove Raised And New Keyword Tags (2)
Copy of Copy of Copy of Tag lowered",Monday at 09:00 AM,
Cleaning,Reg,Disable,599,Pro PPC OOB High Acos Kws Lower Strong,Pro PPC OOB High Acos Kws Lower Strong,501,,"Add Tag Lowered
Remove Tag Raised or New",,Reusable Task
Cleaning,Reg,Disable,600,Pro PPC OOB High Acos Targets Lower Strong,Pro PPC OOB High Acos Targets Lower Strong,503,,"Copy 1 of Add Tag Lowered
Remove tag raised or new targets",,Reusable Task
Cleaning,Reg,Enable,603,Pro PPC OOB High Acos Kws Lower Another 10 Cents,Pro PPC OOB High Acos Kws Lower Another 10 Cents,529,,"Add Tag Lowered
Remove Raised and New Kw Tag",,Reusable Task
Cleaning,Reg,Enable,604,Pro PPC OOB High Acos Kws Lower Another 10 Cents,Pro PPC OOB High Acos Kws Lower Another 10 Cents,532,,"Copy 4 of Add Tag Lowered
Remove Raised and New Target Tag",,Reusable Task
Cleaning,Big DR,Disable,640,Pro PPC Cleaning Kws High Acos Big DR,,,,,,Reusable Task
Cleaning,Big DR,Disable,642,Pro PPC Cleaning Targets High Acos Big DR,,,,,,Reusable Task
,,,,,,,,,,
Auto,Reg,Enable,444,Pro PPC Auto Cleaning,Pro PPC Auto Cleaning,93,,,Monday at 09:00 AM,
Auto,New ,Enable,444,Pro PPC Auto Cleaning,Pro PPC Auto Cleaning - New,13,,,Monday at 09:00 AM,
Auto,Reg,Enable,443,Pro PPC Auto Boosting,Pro PPC Auto Boosting,94,,,Monday at 09:00 AM,
Auto,New ,Enable,443,Pro PPC Auto Boosting,Pro PPC Auto Boosting - New,12,,,Monday at 09:00 AM,
Auto,Reg,Enable,644,Pro PPC Auto Boosting Low Spent Stronger,Pro PPC Auto Boosting Low Spent Stronger,694,,,,
Auto,Reg,Enable,442,Pro PPC Auto Negating Search Terms,Pro PPC Auto Negating Search Terms,14,,Tag Negated,Monday at 09:00 AM,
Auto,Reg,Enable,453,Pro PPC Auto Negating Asin Search Terms,Pro PPC Auto Negating Asin Search Terms,50,,Add Tag Negated,Monday at 09:00 AM,
Auto,Reg,Enable,498,Pro PPC Notify Auto Targets 50 clicks and no sales,Pro PPC Notify Auto Targets 50 clicks and no sales,54,,,Monday at 09:00 AM,
,,,,,,,,,,
PL,Reg,Disable,513,Pro PPC Raise PP Placements Low Acos (2),Pro PPC Raise PP Placements Low Acos,37,,, Weekly at 09:00 AM,
PL,Reg,Disable,513,Pro PPC Raise TOS Placements Low Acos (2),Pro PPC Raise TOS Placements Low Acos,38,,, Weekly at 09:00 AM,
PL,Reg,Disable,513,Pro PPC Raise PP Placements Good Acos (2),Pro PPC Raise PP Placements Good Acos,23,,, Weekly at 09:00 AM,
PL,Reg,Disable,513,Pro PPC Raise TOS Placements Good Acos (2),Pro PPC Raise TOS Placements Good Acos,16,,, Weekly at 09:00 AM,
PL,Reg,Disable,"550
476","Pro PPC Raise ROS Placements Good Acos (2)
>Pro PPC Raise ROS Placements Good Acos",Pro PPC Raise ROS Placements Good Acos,106,,Raised ROS PlacementLowered ROS Placement Copy of Add tag raisedCopy of Remove lowered tag, Weekly at 09:00 AM,
PL,Reg,Disable,476,Pro PPC Raise TOS Placements Low Acos,Pro PPC Raise TOS Placements Low Acos,38,,,,
PL,Reg,Disable,476,Pro PPC Raise PP Placements Low Acos,Pro PPC Raise PP Placements Low Acos,37,,,,
PL,Reg,Disable,"476
514","Pro PPC Lower TOS Placements high acos
> 	Pro PPC Lower TOS Placements high acos (2)",Pro PPC Lower TOS Placements High Acos,17,,Remove Raised TagAdd tag lowered placement, Weekly at 09:00 AM,
PL,Reg,Disable,"550
476","Pro PPC Lower PP Placements high acos
> Pro PPC Lower PP Placements high acos (2)",Pro PPC Lower PP Placements High Acos,22,,Remove Raised PP TagAdd Tag Lowered PP Placement (2), Weekly at 09:00 AM,
PL,Reg,Disable,"476
514","Pro PPC Remove TOS Placements
> Pro PPC Remove TOS Placements (2)",Pro PPC Remove TOS Placements,19,,Remove Raised And Lowered TagsAdd tag removed tos placement, Weekly at 09:00 AM,
PL,Reg,Disable,450,Pro PPC Remove PL from Campaign Name,,,,,,
PL,Reg,Disable,451,Pro PPC Remove PP Placements,Pro PPC Remove PP Placements,20,,Remove Lowered and Raised PP TagAdd Tag Removed PP Placement, Weekly at 09:00 AM,
PL,Reg,Disable,456,Pro PPC Lower TOS Placements very high acos,Pro PPC Lower TOS Placements Very High Acos,18,,Remove Raised Tag (2)Add tag lowered placement (2), Weekly at 09:00 AM,
PL,Reg,Disable,456,Pro PPC Lower PP Placements very high acos,Pro PPC Lower PP Placements Very High Acos,21,,Remove Raised PP Tag (2)Add Tag Lowered PP Placement, Weekly at 09:00 AM,
PL,Reg,Disable,"445
516","Pro PPC Raise TOS Placements Good Acos
> Pro PPC Raise TOS Placements Good Acos (2)",Pro PPC Raise TOS Placements Good Acos,16,,Lowered TOS PlacementRaised TOS Placement Add tag raisedRemove lowered tag, Weekly at 09:00 AM,
PL,Reg,Disable,"445
516","        Pro PPC Raise PP Placements Good Acos
> Pro PPC Raise PP Placements Good Acos (2)",Pro PPC Raise PP Placements Good Acos,23,,"Lowered PP PlacementRaised PP Placement,Raised PP Placement Remove Lowered PP TagAdd Tag Raised PP Placement", Weekly at 09:00 AM,
PL,Reg,Disable,"473
492","Pro PPC Add Placements TOS
Pro PPC Add Placements TOS (2)",Pro PPC Add Placements TOS,34,,Pro PPC Add Tag Placements (2), Weekly at 09:00 AM,
PL,Reg,Disable,475,Pro PPC Add Placements PP,Pro PPC Add Placements PP,35,,Pro PPC Add Tag Placements (2), Weekly at 09:00 AM,
PL,Reg,Disable,489,Pro PPC Add Placements ROS,,,,,,
PL,Reg,Disable,491,Pro PPC Add Placements PP (2),Pro PPC Add Placements PP,35,,, Weekly at 09:00 AM,
PL,Reg,Disable,499,Pro PPC Removed Placements,,,,,,
PL,Reg,Disable,500,Pro PPC Removed Placements - Keywords,,,,,,
PL,Reg,Disable,501,Pro PPC Removed Placements - Targets,,,,,,
PL,Reg,Disable,507,Pro PPC Lower TOS Placements high acos (2),Pro PPC Lower TOS Placements high acos,17,,, Weekly at 09:00 AM,
PL,Reg,Disable,508,Pro PPC Lower PP Placements high acos (2),Pro PPC Lower PP Placements high acos,22,,, Weekly at 09:00 AM,
PL,Reg,Disable,509,Pro PPC Lower PP Placements very high acos (2),Pro PPC Lower PP Placements Very High Acos,21,,, Weekly at 09:00 AM,
PL,Reg,Disable,510,Pro PPC Lower TOS Placements very high acos (2),Pro PPC Lower TOS Placements Very High Acos,18,,, Weekly at 09:00 AM,
PL,Reg,Disable,511,Pro PPC Remove PP Placements (2),Pro PPC Remove PP Placements,20,,, Weekly at 09:00 AM,
PL,Reg,Disable,512,Pro PPC Remove TOS Placements (2),Pro PPC Remove TOS Placements,19,,, Weekly at 09:00 AM,
PL,Reg,Disable,"548
489","Pro PPC Add Placements ROS (2)
>Pro PPC Add Placements ROS",Pro PPC Add Placements ROS,105,,, Weekly at 09:00 AM,
PL,Reg,Disable,"552
551","Pro PPC Lower ROS Placements high acos (2)
> Pro PPC Lower ROS Placements high acos",Pro PPC Lower ROS Placements high acos,107,,Lowered ROS PlacementRaised ROS Placement Copy of Add tag lowered placementCopy of Remove Raised Tag, Weekly at 09:00 AM,
PL,Reg,Disable,"554
553","Pro PPC Lower ROS Placements very high acos (2)
> Pro PPC Lower ROS Placements very high acos",Pro PPC Lower ROS Placements very high acos,108,,, Weekly at 09:00 AM,
PL,Reg,Disable,"556
555","Pro PPC Remove ROS Placements (2) 
> Pro PPC Remove ROS Placements",Pro PPC Remove ROS Placements,109,,"Removed ROS PlacementsLowered ROS Placement,Lowered ROS Placement,Raised ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Lowered ROS Placement,Raised ROS Placement Add tag removed Ros placementCopy of Remove Raised And Lowered Tags", Weekly at 09:00 AM,
PL,Reg,Disable,500,Pro PPC Removed Placements - Keywords,Pro PPC Removed Placements - Keywords,55,,,Weekly at 11:00 AM,
,,,,,,,,,,
Budget,Reg,Disable,502,Pro PPC Raise Campaign Budgets $100-$500,Pro PPC Raise Campaign Budgets $100-$500,99,,,Weekly at 09:00 AM,
Budget,New ,Disable,502,Pro PPC Raise Campaign Budgets $100-$500,Pro PPC Raise Campaign Budgets $100-$500 - New,56,,,"  09:00 AM, only on Monday and Thursday",
Budget,Reg,Disable,503,Pro PPC Raise Campaign Budgets more than $500,Pro PPC Raise Campaign Budgets more than $500,100,Copy of Pro PPC Notify Campaign Budgets more than $1000,, Weekly at 09:00 AM,
Budget,New ,Disable,503,Pro PPC Raise Campaign Budgets more than $500,Pro PPC Raise Campaign Budgets more than $500 - New,57,Pro PPC Notify Campaign Budgets more than $1000,,"  09:00 AM, only on Monday and Thursday",
Budget,Reg,Disable,490,Pro PPC Raise Campaign Budgets up to $100,Pro PPC Raise Campaign Budgets up to $100,98,,, Weekly at 09:00 AM,
Budget,New ,Disable,490,Pro PPC Raise Campaign Budgets up to $100,Pro PPC Raise Campaign Budgets up to $100 - New,49,Notify Raised Budget,," 09:00 AM, only on Monday and Thursday",
Budget,Reg,Enable,615,Pro PPC Lower Old Campaign Budgets,Pro PPC Lower Old Campaign Budgets,542,,,,Reusable Task
,,,,,,,,,,
Pausing,Reg,Enable,528,Pro PPC Pause Kws Old Campaigns 7 day DR,Pro PPC Pause Kws Old Campaigns 7 day DR,70,,,Monday at 09:00 AM,
Pausing,Big DR,Enable,529,Pro PPC Pause Kws Old Campaigns 65 day DR,Pro PPC Pause Kws Old Campaigns 65 day DR,72,,Add Tag Old Campaign,,Reusable Task- Only use once when taking over an old campaign
Pausing,Reg,Enable,611,Pro PPC Pause Targets Old Campaigns 7 day DR,Pro PPC Pause Targets Old Campaigns 7 day DR,518,,,,
Pausing,Big DR,Enable,612,Pro PPC Pause Targets Old Campaigns 65 day DR,Pro PPC Pause Targets Old Campaigns 65 day DR,519,,,,Reusable Task- Only use once when taking over an old campaign
Pausing,Reg,Enable,608,Pro PPC Pause Kws Mixed Campaigns 7 day DR,Pro PPC Pause Kws Mixed Campaigns 7 day DR,514,,,,
Pausing,Reg,Enable,610,Pro PPC Pause Targets Mixed Campaigns 7 day DR,Pro PPC Pause Targets Mixed Campaigns 7 day DR,517,,,,
Pausing,Reg,Enable,422,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales,90,"Pause (Kws with more than 30 clicks and no sales)
 Archive (Kws with more than 30 clicks and no sales)",Add Tag Paused 0.02,Monday at 09:00 AM,
Pausing,New ,Enable,422,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales - New,46,"Pause (Kws with more than 30 clicks and no sales)
Archive (Kws with more than 30 clicks and no sales)",Add Tag Paused 0.02,Monday at 09:00 AM,
Pausing,Reg,Enable,464,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales,89,Copy of Pause (Targets with more than 30 clicks and no sales)Copy of Archive (Targets with more than 30 clicks and no sales)Copy of Add Tag Paused 0.02 (2),,Monday at 09:00 AM,
Pausing,New ,Enable,464,Pro PPC Pause Targets with more than 30 clicks and no sales,Pro PPC Pause Targets with more than 30 clicks and no sales - New,47,Copy of Pause (Targets with more than 30 clicks and no sales)Copy of Archive (Targets with more than 30 clicks and no sales)Copy of Add Tag Paused 0.02 (2),,Monday at 09:00 AM,
Pausing,Reg,Enable,517,Pro PPC Pause High Organic Position,Pro PPC Pause High Organic Position,61,,,,This needs the crawlers to work
Pausing,Reg,Enable,560,Pro PPC Pause High Organic Position 1,Need to add task,,,,,This needs the crawlers to work
Pausing,Reg,Enable,571,Pro PPC Pause Old Campaigns,Pro PPC Pause Old Campaigns,415,,,Sun-Fri at 09:00 AM,
Pausing,Reg,Enable,635,Pro PPC Pause Old Campaigns High Acos ,Pro PPC Pause Old Campaigns High Acos ,641,,,,
Pausing,Reg,Enable,614,Pro PPC Pause Old Campaign Ad Groups,Pro PPC Pause Old Campaign Ad Groups,541,,,Sun-Fri at 09:00 AM,
Pausing,Reg,Enable,563,Pro PPC Pause Low Inventory,Pro PPC Pause Low Inventory,402,Notify Pause Low Inventory,"Add Tag Paused Low Inventory 
",,"See related task ""Pro PPC Notify Campaign Low Inventory High Acos"""
Pausing,Big DR,Disable,422,Pro PPC Pause Kws with more than 30 clicks and no sales,Pro PPC Pause Kws with more than 30 clicks and no sales - 3 Month DR,486,Put to .02 bid,Add Tag Paused .02,,Reusable Task
